timestamp,src_ip,dst_ip,protocol,size,risk,status
1773415747.0516782,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.067143,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.0847387,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.0978265,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.1110818,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.1251497,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.1417768,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.1557684,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.1736085,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.187791,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.2046652,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.2189245,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.2317538,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.2438002,42.106.162.201,192.168.1.34,6,1506,MEDIUM,SUSPICIOUS
1773415747.2576907,42.106.162.201,192.168.1.34,6,1237,MEDIUM,SUSPICIOUS
1773415747.302458,42.106.162.202,192.168.1.34,6,54,HIGH,DOS ATTACK
1773415747.317501,42.106.162.202,192.168.1.34,6,318,HIGH,DOS ATTACK
1773415747.3475494,42.106.162.202,192.168.1.34,6,54,HIGH,DOS ATTACK
1773415747.3590186,42.106.162.202,192.168.1.34,6,54,HIGH,DOS ATTACK
1773415747.3722434,42.106.162.202,192.168.1.34,6,365,HIGH,DOS ATTACK
1773415747.3898149,42.106.162.202,192.168.1.34,6,115,HIGH,DOS ATTACK
1773415747.4066112,42.106.162.202,192.168.1.34,6,85,HIGH,DOS ATTACK
1773415747.4255564,42.106.162.202,192.168.1.34,6,684,HIGH,DOS ATTACK
1773415747.4410431,42.106.162.202,192.168.1.34,6,85,HIGH,DOS ATTACK
1773415747.4566956,42.106.162.202,192.168.1.34,6,54,HIGH,DOS ATTACK
1773415747.4872868,8.8.4.4,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415747.502649,8.8.4.4,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415747.5191202,8.8.4.4,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415747.534554,8.8.4.4,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415747.5509622,8.8.4.4,192.168.1.34,17,1292,HIGH,DOS ATTACK
1773415747.5665798,8.8.4.4,192.168.1.34,17,1288,HIGH,DOS ATTACK
1773415747.5824685,8.8.4.4,192.168.1.34,17,75,HIGH,DOS ATTACK
1773415747.6102264,8.8.4.4,192.168.1.34,6,66,HIGH,DOS ATTACK
1773415747.628149,8.8.4.4,192.168.1.34,17,976,HIGH,DOS ATTACK
1773415747.6434789,8.8.4.4,192.168.1.34,17,163,HIGH,DOS ATTACK
1773415747.6600509,8.8.4.4,192.168.1.34,17,69,HIGH,DOS ATTACK
1773415747.6737614,8.8.4.4,192.168.1.34,17,753,HIGH,DOS ATTACK
1773415747.6884947,8.8.4.4,192.168.1.34,17,64,HIGH,DOS ATTACK
1773415747.7019134,8.8.4.4,192.168.1.34,17,571,HIGH,DOS ATTACK
1773415747.7186444,8.8.4.4,192.168.1.34,17,64,HIGH,DOS ATTACK
1773415747.7322493,8.8.4.4,192.168.1.34,6,54,HIGH,DOS ATTACK
1773415747.7440503,8.8.4.4,192.168.1.34,6,1466,HIGH,DOS ATTACK
1773415747.7594526,8.8.4.4,192.168.1.34,6,1466,HIGH,DOS ATTACK
1773415747.7779925,8.8.4.4,192.168.1.34,6,1466,HIGH,DOS ATTACK
1773415747.7924187,8.8.4.4,192.168.1.34,6,1310,HIGH,DOS ATTACK
1773415747.8157287,8.8.4.4,192.168.1.34,17,65,HIGH,DOS ATTACK
1773415747.8301532,8.8.4.4,192.168.1.34,6,1004,HIGH,DOS ATTACK
1773415747.850493,104.108.159.48,192.168.1.34,6,54,HIGH,DOS ATTACK
1773415747.8650885,104.108.159.48,192.168.1.34,6,54,HIGH,DOS ATTACK
1773415747.879179,104.108.159.48,192.168.1.34,6,1506,HIGH,DOS ATTACK
1773415747.897386,104.108.159.48,192.168.1.34,6,1506,HIGH,DOS ATTACK
1773415747.911886,104.108.159.48,192.168.1.34,6,1246,HIGH,DOS ATTACK
1773415747.927531,104.108.159.48,192.168.1.34,6,1125,HIGH,DOS ATTACK
1773415747.9490037,104.108.159.48,192.168.1.34,6,365,HIGH,DOS ATTACK
1773415747.9683282,104.108.159.48,192.168.1.34,6,365,HIGH,DOS ATTACK
1773415747.9831016,104.108.159.48,192.168.1.34,6,115,HIGH,DOS ATTACK
1773415747.9995422,104.108.159.48,192.168.1.34,6,85,HIGH,DOS ATTACK
1773415748.017993,104.108.159.48,192.168.1.34,6,54,HIGH,DOS ATTACK
1773415748.031504,104.108.159.48,192.168.1.34,6,54,HIGH,DOS ATTACK
1773415748.0502155,104.108.159.48,192.168.1.34,6,1506,HIGH,DOS ATTACK
1773415748.0643873,104.108.159.48,192.168.1.34,6,1506,HIGH,DOS ATTACK
1773415748.0810542,104.108.159.48,192.168.1.34,6,1329,HIGH,DOS ATTACK
1773415748.0953236,104.108.159.48,192.168.1.34,6,95,HIGH,DOS ATTACK
1773415748.1135962,104.108.159.48,192.168.1.34,6,1506,HIGH,DOS ATTACK
1773415748.1279478,104.108.159.48,192.168.1.34,6,1506,HIGH,DOS ATTACK
1773415748.146676,104.108.159.48,192.168.1.34,6,152,HIGH,DOS ATTACK
1773415748.163646,104.108.159.48,192.168.1.34,6,93,HIGH,DOS ATTACK
1773415748.1862478,104.108.159.48,192.168.1.34,6,85,HIGH,DOS ATTACK
1773415748.214101,8.8.4.4,192.168.1.34,17,70,MEDIUM,SUSPICIOUS
